亜,ア アシア,つぐ,Asia; rank next; come after; -ous
阿,ア オ,おもねる,Africa; flatter; fawn upon; corner; nook; recess
哀,アイ,あわれ あわれむ かなしい,pathetic; grief; sorrow; pathos; pity; sympathize
葵,キ,あおい,hollyhock
茜,セン,あかね,madder; red dye; Turkey red
握,アク,にぎる,grip; hold; mould sushi; bribe
渥,アク,あつい うるおう,kindness
旭,キョク,あさひ,rising sun; morning sun
梓,シ,あずさ,catalpa tree
扱,ショウ,あつかる あつかい あつかう,handle; entertain; thresh; strip
宛,エン,あてる あたかも,address; just like; fortunately
絢,ケン,,kimono design
綾,リン,あや,design; figured cloth; twill
鮎,デン ネン,あゆ なまず,freshwater trout; smelt
案,アン,,plan; suggestion; draft; ponder; fear; proposition; idea; expectation; bill; worry
杏,キョウ アン コウ,あんず,apricot
伊,イ,かれ,Italy; that one
威,イ,おどす おどし おどかす,intimidate; dignity; majesty; menace; threaten
尉,イ ジョウ,,military officer; jailer; old man; rank
惟,イ ユイ,おもんみる これ おもうに,consider; reflect; think
慰,イ,なぐさめる なぐさむ,consolation; amusement; seduce; cheer; make sport of; comfort; console
為,イ,ため なる なす する たり つくる なり,do; change; make; benefit; welfare; be of use; reach to; try; practice; cost; serve as; good; advantage; as a result of
異,イ,こと ことなる,uncommon; queerness; strangeness; wonderful; curious; unusual
維,イ,,fiber; tie; rope
緯,イ,よこいと ぬき,horizontal; woof; left & right; latitude
遺,イ ユイ,,bequeath; leave behind; reserve
井,セイ ショウ,い,well; well crib; town; community
亥,ガイ カイ,い,sign of the hog; 9-11PM; twelfth sign of the Chinese zodiac
郁,イク,,cultural progress; perfume
磯,キ,いそ,seashore; beach
壱,イチ イツ,ひとつ,I; one
逸,イツ,それる そらす はぐれる,deviate; idleness; leisure; miss the mark; evade; elude; parry; diverge
稲,トウ テ,いね いな-,rice plant
芋,ウ,いも,potato
允,イン,じょう まことに ゆるす,license; sincerity; permit
姻,イン,,matrimony; marry
