悪,アク オ,わるい わる- あし にくい ああ いずくに いずくんぞ にくむ,bad; vice; rascal; false; evil; wrong
安,アン,やすい やすまる やす やすらか,relax; cheap; low; quiet; rested; contented; peaceful
以,イ,もって,by means of; because; in view of; compared with
意,イ,,idea; mind; heart; taste; thought; desire; care; liking
医,イ,いやす いする くすし,doctor; medicine
員,イン,,employee; member; number; the one in charge
飲,イン オン,のむ,drink; smoke; take
院,イン,,Inst.; institution; temple; mansion; school
運,ウン,はこぶ,carry; luck; destiny; fate; lot; transport; progress; advance
映,エイ,うつる うつす はえる,reflect; reflection; projection
英,エイ,はなぶさ,England; English
駅,エキ,,station
屋,オク,や,roof; house; shop; dealer; seller
音,オン イン,おと ね,sound; noise
夏,カ ガ ゲ,なつ,summer
家,カ ケ,いえ や うち,house; home
歌,カ,うた うたう,song; sing
花,カ ケ,はな,flower
画,ガ カク エ カイ,えがく かくする かぎる はかりごと はかる,brush-stroke; picture
会,カイ エ,あう あわせる あつまる,meeting; meet; party; association; interview; join
海,カイ,うみ,sea; ocean
界,カイ,,world
開,カイ,ひらく ひらき ひらける あく あける,open; unfold; unseal
楽,ガク ラク ゴウ,たのしい たのしむ このむ,music; comfort; ease
漢,カン,,Sino-; China
館,カン,やかた たて,building; mansion; large building; palace
帰,キ,かえる かえす おくる とつぐ,homecoming; arrive at; lead to; result in
起,キ,おきる おこる おこす おこす たつ,rouse; wake up; get up
急,キュウ,いそぐ いそぎ,hurry; emergency; sudden; steep
究,キュウ ク,きわめる,research; study
牛,ギュウ,うし,cow
去,キョ コ,さる,gone; past; quit; leave; elapse; eliminate; divorce
魚,ギョ,うお さかな,fish
京,キョウ ケイ キン,みやこ,capital; 10**16
強,キョウ ゴウ,つよい つよまる つよめる しいる こわい,strong
教,キョウ,おしえる おそわる,teach; faith; doctrine
業,ギョウ ゴウ,わざ,business; vocation; arts; performance
近,キン コン,ちかい,near; early; akin; tantamount
銀,ギン,しろがね,silver
空,クウ,そら あく あき あける から すく すかす むなしい,empty; sky; void; vacant; vacuum
兄,ケイ キョウ,あに,elder brother; big brother
計,ケイ,はかる はからう,plot; plan; scheme; measure
建,ケン コン,たてる たて たつ,build
犬,ケン,いぬ いぬ-,dog
研,ケン,とぐ,polish; study of; sharpen
験,ケン ゲン,あかし しるし ためす ためし,verification; effect; testing
元,ゲン ガン,もと,beginning; former time; origin
言,ゲン ゴン,いう こと,say
古,コ,ふるい ふる-,old
口,コウ ク,くち,mouth
工,コウ ク グ,,craft; construction
広,コウ,ひろい ひろまる ひろめる ひろがる ひろげる,wide; broad; spacious
考,コウ,かんがえる かんがえ,consider; think over
黒,コク,くろ くろずむ くろい,black
作,サク サ,つくる つくり,make; production; prepare; build
仕,シ ジ,つかえる,attend; doing; official; serve
使,シ,つかう つかい,use
始,シ,はじめる はじまる,commence; begin
姉,シ,あね はは,elder sister
思,シ,おもう おもえらく おぼす,think
止,シ,とまる とめる とどめる とどめ とどまる やめる やむ よす,stop; halt
死,シ,しぬ しに-,death; die
私,シ,わたくし わたし,private; I; me
紙,シ,かみ,paper
試,シ,こころみる ためす,test; try; attempt; experiment; ordeal
事,ジ ズ,こと つかう つかえる,matter; thing; fact; business; reason; possibly
字,ジ,あざ あざな,character; letter; word; section of village
持,ジ,もつ もてる,hold; have
自,ジ シ,みずから おのずから おのずと,oneself
室,シツ,むろ,room; apartment; chamber; greenhouse; cellar
質,シツ シチ チ,たち ただす もと わりふ,substance; quality; matter; temperament
写,シャ ジャ,うつす うつる うつ- うつし,copy; be photographed; describe
社,シャ,やしろ,company; firm; office; association; shrine
者,シャ,もの,someone; person
借,シャク,かりる,borrow; rent
主,シュ ス シュウ,ぬし おも あるじ,lord; chief; master; main thing; principal
手,シュ ズ,て て- た-,hand
秋,シュウ,あき とき,autumn
終,シュウ,おわる おわる おえる つい ついに,end; finish
習,シュウ ジュ,ならう ならい,learn
週,シュウ,,week
集,シュウ,あつまる あつめる つどう,gather; meet; congregate; swarm; flock
住,ジュウ ヂュウ チュウ,すむ すまう,dwell; reside; live; inhabit
重,ジュウ チョウ,え おもい おもり おもなう かさねる かさなる おも,heavy; heap up; pile up; nest of boxes; -fold
春,シュン,はる,springtime; spring (season)
少,ショウ,すくない すこし,few; little
場,ジョウ チョウ,ば,location; place
色,ショク シキ,いろ,color
心,シン,こころ りっしんべん,heart; mind; spirit
新,シン,あたらしい あらた あら- にい-,new
真,シン,ま ま- まこと,true; reality; Buddhist sect
親,シン,おや おや- したしい したしむ,parent; intimacy; relative; familiarity; dealer (cards)
図,ズ ト,え はかる,map; drawing; plan; unexpected; accidentally
世,セイ セ ソウ,よ さんじゅう,generation; world; society; public
正,セイ ショウ,ただしい ただす まさ まさに,correct; justice; righteous; 10**40
青,セイ ショウ,あお あお- あおい,blue; green
