一,イチ イツ,ひと- ひとつ,one
右,ウ ユウ,みぎ,right
雨,ウ,あめ あま-,rain
円,エン,まるい まる まど まどか まろやか,circle; yen; round
下,カ ゲ,した しも もと さげる さがる くだる くだり くだす くださる おろす おりる,below; down; descend; give; low; inferior
何,カ,なに なん なに- なん-,what
火,カ,ひ ほ-,fire
外,ガイ ゲ,そと ほか はずす はずれる と-,outside
学,ガク,まなぶ,study; learning; science
間,カン ケン,あいだ ま あい,interval; space
気,キ ケ,いき,spirit; mind
休,キュウ,やすむ やすまる やすめる,rest; day off; retire; sleep
金,キン コン ゴン,かね かな-,gold
九,キュウ ク,ここの ここのつ,nine
月,ゲツ ガツ,つき,month; moon
見,ケン,みる みえる みせる,see; hopes; chances; idea; opinion; look at; visible
五,ゴ,いつ いつつ,five
午,ゴ,うま,noon; seventh sign of Chinese zodiac; sign of the horse
後,ゴ コウ,のち うしろ うしろ あと おくれる,behind; back; later
語,ゴ,かたる かたらう,word; speech; language
校,コウ キョウ,,exam; school; printing; proof; correction
行,コウ ギョウ アン,いく ゆく おこなう おこなう,going; journey
高,コウ,たかい たか たかまる たかめる,tall; high; expensive
国,コク,くに,country
今,コン キン,いま,now
左,サ シャ,ひだり,left
三,サン ゾウ,み みつ みっつ,three
山,サン セン,やま,mountain
四,シ,よ よつ よっつ よん,four
子,シ ス ツ,こ ね,child; first sign of Chinese zodiac; sign of the rat
時,ジ,とき,time; hour
七,シチ,なな ななつ なの,seven
車,シャ,くるま,car
十,ジュウ ジッ ジュッ,とお と,ten
出,シュツ スイ,でる だす いでる いだす,exit; leave
書,ショ,かく,write
女,ジョ ニョ ニョウ,おんな め,woman; female
小,ショウ,ちいさい こ- お- さ-,little; small
上,ジョウ ショウ シャン,うえ うわ- かみ あげる あがる あがり のぼる のぼり のぼせる のぼす よす,above; up
食,ショク ジキ,くう くらう たべる はむ,eat; food
人,ジン ニン,ひと,person
水,スイ,みず みず-,water
生,セイ ショウ,いきる いかす いける うまれる うまれ うまれ うむ おう はえる はやす き なま なま- なる なす むす,life; genuine; birth
西,セイ サイ ス,にし,west; Spain
先,セン,さき まず,before; ahead; previous; future; precedence
千,セン,ち,thousand
川,セン,かわ,stream; river
前,ゼン,まえ,in front; before
大,ダイ タイ,おお- おおきい,large; big
男,ダン ナン,おとこ お,male
中,チュウ,なか うち あたる,in; inside; middle; mean; center
長,チョウ,ながい おさ,long; leader
天,テン,あまつ あめ あま-,heavens; sky; imperial
電,デン,,electricity
土,ド ト,つち,soil; earth; ground; Turkey
東,トウ,ひがし,east
読,ドク トク トウ,よむ,read
南,ナン ナ,みなみ,south
二,ニ ジ,ふた ふたつ ふたたび,two
日,ニチ ジツ,ひ,day; sun; Japan
入,ニュウ ニッ,いる いれる はいる,enter; insert
年,ネン,とし,year
白,ハク ビャク,しろ しら- しろい,white
八,ハチ,や やつ やっつ よう,eight
半,ハン,なかば,half; middle; odd number; semi-; part-
百,ヒャク ビャク,もも,hundred
父,フ,ちち,father
分,ブン フン ブ,わける わけ わかれる わかる わかつ,part; minute of time; segment; share; degree; ones lot; duty; understand; know; rate; 1%; chances; shaku/10
聞,ブン モン,きく きこえる,hear; ask; listen
母,ボ,はは も,mama; mother
北,ホク,きた,north
本,ホン,もと,book; present; main; true; real; counter for long things
毎,マイ,ごと,every
万,マン バン,よろず,ten thousand
名,メイ ミョウ,な,name; noted; distinguished; reputation
木,ボク モク,き こ-,tree; wood
友,ユウ,とも,friend
来,ライ タイ,くる きたる きたす きたす きたる き こ,come; due; next; cause; become
六,ロク リク,む むつ むっつ むい,six
話,ワ,はなす はなし,tale; talk
