ああ,嗚呼,Ah!;Oh!;Alas!
あい,相,together;mutually;fellow
あい,愛,love
あいかわらず,相変わらず,as ever;as usual;the same
あいさつ,挨拶,greeting;salutation
あいじょう,愛情,love;affection
あいする,愛する,to love
あいず,合図,sign;signal
あいそ,愛想,civility;courtesy;compliments;sociability;graces
あいたい,相対,confrontation;facing;between ourselves;no third party;tete-a-tete
あいだ,間,space;interval
あいだがら,間柄,relation(ship)
あいて,相手,companion;partner;company
あいにく,愛憎,likes and dislikes
あいま,合間,interval
あいまい,曖昧,vague;ambiguous
あう,合う,to fit;to suit;to agree with;to match;to be correct;to be profitable
あう,会う,to meet;to interview
あう,遭う,to meet;to encounter (undesirable nuance)
あえて,敢えて,dare (to do);challenge (to do)
あお,青,blue;green;green light
あおい,青い,blue;pale;green;unripe;inexperienced
あおぐ,仰ぐ,to look up (to);to respect;to depend on;to ask for;to seek;to revere;to drink;to take
あおじろい,青白い,pale;pallid
あか,垢,dirt;filth
あか,亜科,suborder;subfamily
あかい,赤い,red
あかがね,銅,copper
あかし,証,proof;evidence
あかじ,赤字,deficit;go in the red
あかす,明かす,to pass;spend;to reveal;to divulge
あかちゃん,赤ちゃん,baby;infant
あからさま,明白,obvious;overt;plainly;frankly
あからむ,赤らむ,to become red;to redden;to blush
あかり,明かり,lamplight;light (in general);brightness
あかるい,明るい,bright;cheerful
あかんぼう,赤ん坊,baby
あがり,上がり,1.  slope;advance income;crop yield;ascent;rise;advance;death;spinning;completion;stop;finish;after (rain);ex (official  etc.); 2.  freshly-drawn green tea (esp. in sushi shops)
あがる,上がる,to enter;to go up;to rise;to climb up;to advance;to appreciate;to be promoted;to improve;to call on;to be offered;to accrue;to be finished;to come to (expenses);to go bankrupt;to begin spinning (cocoons);to be caught;to get ruffled;to eat;to drink;to die
あき,秋,autumn;fall
あき,明き,room;time to spare;emptiness;vacant
あき,空き,room;time to spare;emptiness;vacant
あきうど,商人,trader;shopkeeper;merchant
あきま,空間,vacancy;room for rent or lease
あきらか,明らか,obvious;evident;clear;plain
あきらめ,諦め,resignation;acceptance;consolation
あきらめる,諦める,to give up;to abandon
あきる,飽きる,to get tired of;to lose interest in;to have enough
あきれる,呆れる,to be amazed;to be shocked
あく,悪,evil;wickedness
あく,開く,to be open
あく,空く,to become empty;to be less crowded
あく,灰,puckery juice
あくしゅ,握手,handshake
あくどい,,1.  gaudy;showy;excessive; 2.  vicious
あくび,悪日,unlucky day
あくま,悪魔,devil;demon;fiend;Satan;evil spirit
あくまで,飽くまで,to the end;to the last;stubbornly;persistently
あくる,明くる,next;following
あけがた,明け方,dawn
あける,開ける,to open
あける,明ける,to dawn;to become daylight
あげる,上げる,to give;to raise;to elevate;to fly (kites);to praise;to increase;to advance;to promote;to vomit;to usher in;to admit;to send (to school);to offer;to present;to leave with;to finish;to arrange (expenses);to observe;to perform;to quote;to mention;to bear (a
あげる,挙げる,to raise;to fly;to give (an example)
あこがれ,憧れ,yearning;longing;aspiration
あこがれる,憧れる,to long for;to yearn after;to admire
あご,顎,chin
あさ,麻,flax;linen;hemp
あさ,朝,morning
あさい,浅い,shallow;superficial
あさって,明後日,day after tomorrow
あさねぼう,朝寝坊,oversleeping;late riser
あさましい,浅ましい,wretched;miserable;shameful;mean;despicable;abject
あざ,字,section of village
あざむく,欺く,to deceive
あざやか,鮮やか,vivid;clear;brilliant
あざわらう,あざ笑う,to sneer at;to ridicule
あし,足,foot;pace;gait;leg
あしあと,足跡,footprints
あしからず,悪しからず,don't take me wrong  but...;I'm sorry
あした,明日,tomorrow
あしもと,足元,1.  at one's feet;underfoot; 2.  gait;pace;step
あじ,味,flavor;taste
あじわい,味わい,flavour;meaning;significance
あじわう,味わう,to taste;to savor;to relish
あずかる,預かる,to keep in custody;to receive on deposit;to take charge of
あずける,預ける,to give into custody;to leave (a child) in the care of;to entrust;to deposit
あずま,東,east;Eastern Japan
あせ,汗,sweat;perspiration
あせる,焦る,to be in a hurry;to be impatient
あそこ,彼処,1.  (uk) there;over there;that place; 2.  (X) (col) genitals
あそび,遊び,playing
あたい,値,value;price;cost;worth;merit
あたいする,値する,to be worth;to deserve;to merit
あたえる,与える,to give;to present;to award
あたし,私,I (fem)
あたたかい,暖かい,warm;mild;genial
あたたまる,暖まる,to warm oneself;to sun oneself;to warm up;to get warm
あたためる,暖める,to warm;to heat
あたま,頭,head
あたらしい,新しい,new
あたり,当たり,hit;success;reaching the mark;per ...;vicinity;neighborhood
あたり,辺り,(in the) neighbourhood;vicinity;nearby
あたりまえ,当たり前,usual;common;ordinary;natural;reasonable;obvious
あたる,当たる,to be hit;to be successful;to face (confront);to lie (in the direction of);to undertake;to treat;to be equivalent to;to apply to;to be applicable;to be assigned
あだびと,他人,another person;unrelated person;outsider;stranger
あちこち,彼方此方,here and there
あちら,彼方,1.  there;yonder;that
あちらこちら,彼方此方,here and there
あっか,悪化,deterioration;growing worse;aggravation;degeneration;corruption
あっけない,呆気ない,not enough;too quick (short  long  etc.)
あっこう,悪口,abuse;insult;slander;evil speaking
あっさり,,easily;readily;quickly
あっしゅく,圧縮,compression;condensation;pressure
あっち,,over there
あっぱく,圧迫,pressure;coercion;oppression
あつい,厚い,cordial;kind;warm(hearted);thick;deep
あつい,暑い,hot;warm
あつい,熱い,hot (thing)
あつかい,扱い,treatment;service
